class_name,source_wav,segment_index,start_sec,end_sec,npy_path,png_path,feature_shape
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,0,2.0,4.0,aimxr/aimxr_user1_1_seg000000.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,1,4.0,6.0,aimxr/aimxr_user1_1_seg000001.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,2,6.0,8.0,aimxr/aimxr_user1_1_seg000002.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,3,8.0,10.0,aimxr/aimxr_user1_1_seg000003.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,4,10.0,12.0,aimxr/aimxr_user1_1_seg000004.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,5,12.0,14.0,aimxr/aimxr_user1_1_seg000005.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,6,14.0,16.0,aimxr/aimxr_user1_1_seg000006.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,7,16.0,18.0,aimxr/aimxr_user1_1_seg000007.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,8,18.0,20.0,aimxr/aimxr_user1_1_seg000008.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,9,20.0,22.0,aimxr/aimxr_user1_1_seg000009.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,10,22.0,24.0,aimxr/aimxr_user1_1_seg000010.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,11,24.0,26.0,aimxr/aimxr_user1_1_seg000011.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,12,26.0,28.0,aimxr/aimxr_user1_1_seg000012.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,13,28.0,30.0,aimxr/aimxr_user1_1_seg000013.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,14,30.0,32.0,aimxr/aimxr_user1_1_seg000014.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,15,32.0,34.0,aimxr/aimxr_user1_1_seg000015.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,16,34.0,36.0,aimxr/aimxr_user1_1_seg000016.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,17,36.0,38.0,aimxr/aimxr_user1_1_seg000017.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,18,38.0,40.0,aimxr/aimxr_user1_1_seg000018.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,19,40.0,42.0,aimxr/aimxr_user1_1_seg000019.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,20,42.0,44.0,aimxr/aimxr_user1_1_seg000020.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,21,44.0,46.0,aimxr/aimxr_user1_1_seg000021.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,22,46.0,48.0,aimxr/aimxr_user1_1_seg000022.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,23,48.0,50.0,aimxr/aimxr_user1_1_seg000023.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,24,50.0,52.0,aimxr/aimxr_user1_1_seg000024.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,25,52.0,54.0,aimxr/aimxr_user1_1_seg000025.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,26,54.0,56.0,aimxr/aimxr_user1_1_seg000026.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,27,56.0,58.0,aimxr/aimxr_user1_1_seg000027.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,28,58.0,60.0,aimxr/aimxr_user1_1_seg000028.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,29,60.0,62.0,aimxr/aimxr_user1_1_seg000029.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,30,62.0,64.0,aimxr/aimxr_user1_1_seg000030.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,31,64.0,66.0,aimxr/aimxr_user1_1_seg000031.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,32,66.0,68.0,aimxr/aimxr_user1_1_seg000032.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,33,68.0,70.0,aimxr/aimxr_user1_1_seg000033.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,34,70.0,72.0,aimxr/aimxr_user1_1_seg000034.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,35,72.0,74.0,aimxr/aimxr_user1_1_seg000035.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,36,74.0,76.0,aimxr/aimxr_user1_1_seg000036.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,37,76.0,78.0,aimxr/aimxr_user1_1_seg000037.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,38,78.0,80.0,aimxr/aimxr_user1_1_seg000038.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,39,80.0,82.0,aimxr/aimxr_user1_1_seg000039.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,40,82.0,84.0,aimxr/aimxr_user1_1_seg000040.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,41,84.0,86.0,aimxr/aimxr_user1_1_seg000041.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,42,86.0,88.0,aimxr/aimxr_user1_1_seg000042.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,43,88.0,90.0,aimxr/aimxr_user1_1_seg000043.npy,,96x184
aimxr,数据_修改\appidentity\aimxr\user1\aimxr_user1_1.wav,44,90.0,92.0,aimxr/aimxr_user1_1_seg000044.npy,,96x184
